Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-bog6,branch-4fi9,Randomise questionnaire elements?,Question Key,Response
1,1615595162736,13/03/2021 00:26:02,1615595160547,-5,12/03/2021 19:26:00,43406,2,questionnaire-pjw3,,10929276,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Post-delay questions,3,passedScreening,,No,BEGIN QUESTIONNAIRE,
2,1615595175950,13/03/2021 00:26:15,1615595173815,-5,12/03/2021 19:26:13,43406,2,questionnaire-pjw3,,10929276,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Post-delay questions,3,passedScreening,,No,nap,Yes
3,1615595176107,13/03/2021 00:26:16,1615595173817,-5,12/03/2021 19:26:13,43406,2,questionnaire-pjw3,,10929276,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Post-delay questions,3,passedScreening,,No,nap-quantised,1
4,1615595176107,13/03/2021 00:26:16,1615595173818,-5,12/03/2021 19:26:13,43406,2,questionnaire-pjw3,,10929276,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Post-delay questions,3,passedScreening,,No,napDetail,1:50-2:10
5,1615595176107,13/03/2021 00:26:16,1615595173819,-5,12/03/2021 19:26:13,43406,2,questionnaire-pjw3,,10929276,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Post-delay questions,3,passedScreening,,No,END QUESTIONNAIRE,13272
1,1615940464314,17/03/2021 00:21:04,1615940463760,-4,16/03/2021 20:21:03,43406,2,questionnaire-pjw3,,11050367,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Post-delay questions,3,passedScreening,,No,BEGIN QUESTIONNAIRE,
2,1615940508490,17/03/2021 00:21:48,1615940507972,-4,16/03/2021 20:21:47,43406,2,questionnaire-pjw3,,11050367,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Post-delay questions,3,passedScreening,,No,nap,Yes
3,1615940508630,17/03/2021 00:21:48,1615940507973,-4,16/03/2021 20:21:47,43406,2,questionnaire-pjw3,,11050367,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Post-delay questions,3,passedScreening,,No,nap-quantised,1
4,1615940508630,17/03/2021 00:21:48,1615940507973,-4,16/03/2021 20:21:47,43406,2,questionnaire-pjw3,,11050367,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Post-delay questions,3,passedScreening,,No,napDetail,7:00 to 7:45
5,1615940508630,17/03/2021 00:21:48,1615940507974,-4,16/03/2021 20:21:47,43406,2,questionnaire-pjw3,,11050367,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Post-delay questions,3,passedScreening,,No,END QUESTIONNAIRE,44214
1,1615423903497,11/03/2021 00:51:43,1615423903376,-5,10/03/2021 19:51:43,43406,2,questionnaire-pjw3,,10846578,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Post-delay questions,3,failedScreening,passedScreening,No,BEGIN QUESTIONNAIRE,
2,1615423909134,11/03/2021 00:51:49,1615423909038,-5,10/03/2021 19:51:49,43406,2,questionnaire-pjw3,,10846578,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Post-delay questions,3,failedScreening,passedScreening,No,nap,No
3,1615423909268,11/03/2021 00:51:49,1615423909039,-5,10/03/2021 19:51:49,43406,2,questionnaire-pjw3,,10846578,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Post-delay questions,3,failedScreening,passedScreening,No,nap-quantised,2
4,1615423909268,11/03/2021 00:51:49,1615423909039,-5,10/03/2021 19:51:49,43406,2,questionnaire-pjw3,,10846578,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Post-delay questions,3,failedScreening,passedScreening,No,napDetail,
5,1615423909268,11/03/2021 00:51:49,1615423909039,-5,10/03/2021 19:51:49,43406,2,questionnaire-pjw3,,10846578,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Post-delay questions,3,failedScreening,passedScreening,No,END QUESTIONNAIRE,5663
1,1614921134739,05/03/2021 05:12:14,1614921134530,-5,05/03/2021 00:12:14,43406,2,questionnaire-pjw3,,10641678,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Post-delay questions,3,passedScreening,,No,BEGIN QUESTIONNAIRE,
2,1614921152972,05/03/2021 05:12:32,1614921152807,-5,05/03/2021 00:12:32,43406,2,questionnaire-pjw3,,10641678,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Post-delay questions,3,passedScreening,,No,nap,Yes
3,1614921153163,05/03/2021 05:12:33,1614921152808,-5,05/03/2021 00:12:32,43406,2,questionnaire-pjw3,,10641678,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Post-delay questions,3,passedScreening,,No,nap-quantised,1
4,1614921153163,05/03/2021 05:12:33,1614921152808,-5,05/03/2021 00:12:32,43406,2,questionnaire-pjw3,,10641678,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Post-delay questions,3,passedScreening,,No,napDetail,5:00 to 6:00
