Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-bog6,branch-4fi9,Randomise questionnaire elements?,Question Key,Response
1,1615940952084,17/03/2021 00:29:12,1615940951537,-4,16/03/2021 20:29:11,43406,2,questionnaire-yau2,,11050418,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Demographics,2,passedScreening,,No,BEGIN QUESTIONNAIRE,
2,1615941027641,17/03/2021 00:30:27,1615941027161,-4,16/03/2021 20:30:27,43406,2,questionnaire-yau2,,11050418,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Demographics,2,passedScreening,,No,age,18
3,1615941027778,17/03/2021 00:30:27,1615941027162,-4,16/03/2021 20:30:27,43406,2,questionnaire-yau2,,11050418,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Demographics,2,passedScreening,,No,age-quantised,1
4,1615941027778,17/03/2021 00:30:27,1615941027162,-4,16/03/2021 20:30:27,43406,2,questionnaire-yau2,,11050418,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Demographics,2,passedScreening,,No,gender,Female
5,1615941027778,17/03/2021 00:30:27,1615941027162,-4,16/03/2021 20:30:27,43406,2,questionnaire-yau2,,11050418,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Demographics,2,passedScreening,,No,gender-quantised,1
6,1615941027778,17/03/2021 00:30:27,1615941027162,-4,16/03/2021 20:30:27,43406,2,questionnaire-yau2,,11050418,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Demographics,2,passedScreening,,No,language,I only know English but I am fluent and have been speaking English since birth.
7,1615941027778,17/03/2021 00:30:27,1615941027162,-4,16/03/2021 20:30:27,43406,2,questionnaire-yau2,,11050418,BLIND,3360770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1920x1080,1920x969,,Demographics,2,passedScreening,,No,END QUESTIONNAIRE,75625
1,1615595518919,13/03/2021 00:31:58,1615595516715,-5,12/03/2021 19:31:56,43406,2,questionnaire-yau2,,10929309,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Demographics,2,passedScreening,,No,BEGIN QUESTIONNAIRE,
2,1615595532885,13/03/2021 00:32:12,1615595530747,-5,12/03/2021 19:32:10,43406,2,questionnaire-yau2,,10929309,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Demographics,2,passedScreening,,No,age,18
3,1615595533042,13/03/2021 00:32:13,1615595530751,-5,12/03/2021 19:32:10,43406,2,questionnaire-yau2,,10929309,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Demographics,2,passedScreening,,No,age-quantised,1
4,1615595533042,13/03/2021 00:32:13,1615595530752,-5,12/03/2021 19:32:10,43406,2,questionnaire-yau2,,10929309,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Demographics,2,passedScreening,,No,gender,Male
5,1615595533042,13/03/2021 00:32:13,1615595530752,-5,12/03/2021 19:32:10,43406,2,questionnaire-yau2,,10929309,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Demographics,2,passedScreening,,No,gender-quantised,2
6,1615595533042,13/03/2021 00:32:13,1615595530753,-5,12/03/2021 19:32:10,43406,2,questionnaire-yau2,,10929309,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Demographics,2,passedScreening,,No,language,none
7,1615595533042,13/03/2021 00:32:13,1615595530753,-5,12/03/2021 19:32:10,43406,2,questionnaire-yau2,,10929309,BLIND,3325008,,complete,,,computer,Desktop or Laptop,Chromium OS 13597.84.0,Chrome 88.0.4324.153,1300x731,1300x629,,Demographics,2,passedScreening,,No,END QUESTIONNAIRE,14038
1,1615424398985,11/03/2021 00:59:58,1615424398870,-5,10/03/2021 19:59:58,43406,2,questionnaire-yau2,,10846706,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Demographics,2,failedScreening,passedScreening,No,BEGIN QUESTIONNAIRE,
2,1615424421852,11/03/2021 01:00:21,1615424421788,-5,10/03/2021 20:00:21,43406,2,questionnaire-yau2,,10846706,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Demographics,2,failedScreening,passedScreening,No,BEGIN QUESTIONNAIRE,
3,1615424453406,11/03/2021 01:00:53,1615424453336,-5,10/03/2021 20:00:53,43406,2,questionnaire-yau2,,10846706,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Demographics,2,failedScreening,passedScreening,No,age,18
4,1615424453546,11/03/2021 01:00:53,1615424453338,-5,10/03/2021 20:00:53,43406,2,questionnaire-yau2,,10846706,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Demographics,2,failedScreening,passedScreening,No,age-quantised,1
5,1615424453546,11/03/2021 01:00:53,1615424453338,-5,10/03/2021 20:00:53,43406,2,questionnaire-yau2,,10846706,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Demographics,2,failedScreening,passedScreening,No,gender,Male
6,1615424453546,11/03/2021 01:00:53,1615424453338,-5,10/03/2021 20:00:53,43406,2,questionnaire-yau2,,10846706,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Demographics,2,failedScreening,passedScreening,No,gender-quantised,2
7,1615424453546,11/03/2021 01:00:53,1615424453338,-5,10/03/2021 20:00:53,43406,2,questionnaire-yau2,,10846706,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Demographics,2,failedScreening,passedScreening,No,language,"Spanish - I know a little spanish, could have written communication, but have trouble with speaking and communicating verbally"
8,1615424453546,11/03/2021 01:00:53,1615424453338,-5,10/03/2021 20:00:53,43406,2,questionnaire-yau2,,10846706,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Demographics,2,failedScreening,passedScreening,No,END QUESTIONNAIRE,31550
1,1614921539898,05/03/2021 05:18:59,1614921539684,-5,05/03/2021 00:18:59,43406,2,questionnaire-yau2,,10641697,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Demographics,2,passedScreening,,No,BEGIN QUESTIONNAIRE,
