Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-bog6,branch-4fi9,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,answer,audio
1,1615423961853,11/03/2021 00:52:41,1615423961714,-5,10/03/2021 19:52:41,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1615424004253,11/03/2021 00:53:24,1615424004170,-5,10/03/2021 19:53:24,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,749x734,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,1,1,1,instruction,advancementZone,continue_button,42424.00000000089,,,,,0,1,0,,,,,,instruction,,
3,1615424007272,11/03/2021 00:53:27,1615424007195,-5,10/03/2021 19:53:27,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,2,1,1,hcInstruction,advancementZone,continue_button,3007.7499999988504,,,,,0,1,0,,,,,,hcInstruction,,
4,1615424008258,11/03/2021 00:53:28,1615424008181,-5,10/03/2021 19:53:28,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,3,1,1,ITI,ISI,timelimit_screen,999.9599999999991,,,,,0,1,0,,,1,,,hcTrial,third,antiphase_HC_OIS_75dB.wav
5,1615424008380,11/03/2021 00:53:28,1615424008189,-5,10/03/2021 19:53:28,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,3,1,2,tone,Zone1,content_web_audio,0.804999999672873,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,,hcTrial,third,antiphase_HC_OIS_75dB.wav
6,1615424012275,11/03/2021 00:53:32,1615424012198,-5,10/03/2021 19:53:32,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,3,1,2,tone,Zone1,content_web_audio,4009.060000000318,,,,,0,1,0,,,,,,hcTrial,third,antiphase_HC_OIS_75dB.wav
7,1615424013634,11/03/2021 00:53:33,1615424013550,-5,10/03/2021 19:53:33,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,3,1,3,response,Zone5,response_button_text,1339.7449999993114,,,third,1,1,0,0,,,,,,hcTrial,third,antiphase_HC_OIS_75dB.wav
8,1615424014619,11/03/2021 00:53:34,1615424014533,-5,10/03/2021 19:53:34,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,4,2,1,ITI,ISI,timelimit_screen,999.9599999999991,,,,,0,1,0,,,1,,,hcTrial,first,antiphase_HC_SIO_75dB.wav
9,1615424014760,11/03/2021 00:53:34,1615424014540,-5,10/03/2021 19:53:34,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,4,2,2,tone,Zone1,content_web_audio,0.3150000011373777,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,,hcTrial,first,antiphase_HC_SIO_75dB.wav
10,1615424018652,11/03/2021 00:53:38,1615424018543,-5,10/03/2021 19:53:38,43406,2,task-fnbd,,10846594,BLIND,3300128,,complete,,,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.82,1440x900,1440x821,,Headphone screening (2nd try),5,failedScreening,passedScreening,Spreadsheet1,Spreadsheet1,4,2,2,tone,Zone1,content_web_audio,4002.5900000000547,,,,,0,1,0,,,,,,hcTrial,first,antiphase_HC_SIO_75dB.wav
