Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-bog6,branch-4fi9,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,answer,audio
1,1614921154791,05/03/2021 05:12:34,1614921154567,-5,05/03/2021 00:12:34,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1614921174907,05/03/2021 05:12:54,1614921174764,-5,05/03/2021 00:12:54,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,1,1,1,instruction,advancementZone,continue_button,20160.050000005867,,,,,0,1,0,,,,,,instruction,,
3,1614921176700,05/03/2021 05:12:56,1614921176526,-5,05/03/2021 00:12:56,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,2,1,1,volumeCalibration,audio,content_web_audio,1746.4949999994133,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,volume,,synthetic_i.wav
4,1614921177606,05/03/2021 05:12:57,1614921177409,-5,05/03/2021 00:12:57,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,2,1,1,volumeCalibration,Zone2,continue_button,2627.9900000081398,,,,,0,1,0,,,,,,volume,,synthetic_i.wav
5,1614921180752,05/03/2021 05:13:00,1614921180515,-5,05/03/2021 00:13:00,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,3,1,1,hcInstruction,advancementZone,continue_button,3087.86999998847,,,,,0,1,0,,,,,,hcInstruction,,
6,1614921181720,05/03/2021 05:13:01,1614921181524,-5,05/03/2021 00:13:01,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,4,1,1,ITI,ISI,timelimit_screen,999.9600000000028,,,,,0,1,0,,,1,,,hcTrial,third,antiphase_HC_IOS_75dB.wav
7,1614921181853,05/03/2021 05:13:01,1614921181530,-5,05/03/2021 00:13:01,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,4,1,2,tone,Zone1,content_web_audio,0.2049999893642962,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,,hcTrial,third,antiphase_HC_IOS_75dB.wav
8,1614921185685,05/03/2021 05:13:05,1614921185532,-5,05/03/2021 00:13:05,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,4,1,2,tone,Zone1,content_web_audio,4002.314999990631,,,,,0,1,0,,,,,,hcTrial,third,antiphase_HC_IOS_75dB.wav
9,1614921186618,05/03/2021 05:13:06,1614921186454,-5,05/03/2021 00:13:06,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,4,1,3,response,Zone5,response_button_text,908.674999998766,,,third,1,1,0,0,,,,,,hcTrial,third,antiphase_HC_IOS_75dB.wav
10,1614921187603,05/03/2021 05:13:07,1614921187443,-5,05/03/2021 00:13:07,43406,2,task-lmyi,,10641679,BLIND,3242658,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.192,1440x900,1440x769,,Headphone screening (volume & 1st try),3,passedScreening,,Spreadsheet1,Spreadsheet1,5,2,1,ITI,ISI,timelimit_screen,999.9599999999955,,,,,0,1,0,,,1,,,hcTrial,second,antiphase_HC_ISO_75dB.wav
